agent,wall clock,dc num,kernel sec,avg msec/dc,cpu sec,pf total,average msec/pf,wm current,wm mean,wm max,wm additions,wm removals,max dc time cycle,max dc time value,max dc changes cycle,max dc changes value,max dc pf cycle,max dc pf value,epmem time,epmem max time cycle,epmem max time value,epmem bytes,epmem stores,epmem time per dc,smem time,smem max time cycle,smem max time value,smem bytes,smem retrieves,smem queries,smem stores,smem time per dc,settings
seek,10.031000,40013,0.075531,0.001888,0.242124,40164,0.001881,439,438.582181,440,134685,134246,1639,577,1,306,1,27,0.000000,0,0.000000,391240,0,0.000000,0.000000,0,0.000000,391240,0,0,0,0.000000,"2011-09-23 14:47:00,learn:OFF,epmem-learning:false,smem-learning:false,epmem-exclusions:epmem;smem,default-storage-area-id:24,areas-held-in:wm,objects-held-in:wm,look-ahead-planning:yes,search-control-go-to-gateway:yes,delete-old-areas:false,misc-commands:smem --set timers one;epmem --set timers one;waitsnc --disable,mission:random-walk"
seek,20.021000,82157,0.141523,0.001723,0.473077,82475,0.001716,423,435.215317,440,279336,278913,68025,214,52272,84,40404,6,0.000000,0,0.000000,391240,0,0.000000,0.000000,0,0.000000,391240,0,0,0,0.000000,
seek,30.017000,120377,0.207337,0.001722,0.695123,120963,0.001714,473,437.925195,475,412697,412224,105423,574,104304,300,104304,16,0.000000,0,0.000000,391240,0,0.000000,0.000000,0,0.000000,391240,0,0,0,0.000000,
seek,40.018000,159718,0.271178,0.001698,0.917471,160491,0.001690,540,466.177365,582,550016,549476,124463,496,124155,206,124155,16,0.000000,0,0.000000,391240,0,0.000000,0.000000,0,0.000000,391240,0,0,0,0.000000,
seek,50.020000,200544,0.336157,0.001676,1.145543,201524,0.001668,540,481.112291,582,691023,690483,179214,575,192710,85,159721,6,0.000000,0,0.000000,391240,0,0.000000,0.000000,0,0.000000,391240,0,0,0,0.000000,
seek,60.018000,236944,0.396462,0.001673,1.353383,238224,0.001664,656,498.415256,657,819660,819004,200562,896,224523,353,224523,23,0.000000,0,0.000000,391240,0,0.000000,0.000000,0,0.000000,391240,0,0,0,0.000000,
seek,70.019000,276380,0.458040,0.001657,1.572641,277757,0.001649,618,517.727497,657,956303,955685,252358,564,253091,84,252200,6,0.000000,0,0.000000,391240,0,0.000000,0.000000,0,0.000000,391240,0,0,0,0.000000,
seek,80.018000,313509,0.520968,0.001662,1.787744,315168,0.001653,648,530.628996,657,1086467,1085819,294143,466,302064,313,302064,16,0.000000,0,0.000000,391240,0,0.000000,0.000000,0,0.000000,391240,0,0,0,0.000000,
seek,90.018000,350750,0.581207,0.001657,1.996223,352525,0.001649,704,551.136610,749,1216824,1216120,342883,206,315931,174,315932,12,0.000000,0,0.000000,391240,0,0.000000,0.000000,0,0.000000,391240,0,0,0,0.000000,
seek,100.018000,388483,0.644257,0.001658,2.211418,390513,0.001650,734,566.202116,749,1348323,1347589,385321,951,385112,311,385112,16,0.000000,0,0.000000,391240,0,0.000000,0.000000,0,0.000000,391240,0,0,0,0.000000,
seek,110.018000,424320,0.705205,0.001662,2.415604,426496,0.001653,778,585.249298,817,1474249,1473471,404230,205,393392,351,393392,23,0.000000,0,0.000000,391240,0,0.000000,0.000000,0,0.000000,391240,0,0,0,0.000000,
seek,120.018000,460789,0.767043,0.001665,2.622278,463126,0.001656,808,600.983039,817,1601251,1600443,446085,251,453269,313,453269,16,0.000000,0,0.000000,391240,0,0.000000,0.000000,0,0.000000,391240,0,0,0,0.000000,
seek,130.017000,496534,0.829735,0.001671,2.829828,498994,0.001663,852,620.332318,900,1726834,1725982,460790,374,463342,353,463342,23,0.000000,0,0.000000,391240,0,0.000000,0.000000,0,0.000000,391240,0,0,0,0.000000,
seek,140.017000,532390,0.889419,0.001671,3.031755,535048,0.001662,881,636.372685,900,1852170,1851289,530733,248,524322,309,524322,16,0.000000,0,0.000000,391240,0,0.000000,0.000000,0,0.000000,391240,0,0,0,0.000000,
seek,150.022000,567815,0.949052,0.001671,3.233188,570601,0.001663,926,655.208388,965,1976480,1975554,548502,214,536387,355,536387,23,0.000000,0,0.000000,391240,0,0.000000,0.000000,0,0.000000,391240,0,0,0,0.000000,
seek,160.022000,603478,1.008305,0.001671,3.434966,606459,0.001663,956,671.486940,966,2101045,2100089,571994,208,597668,311,597668,16,0.000000,0,0.000000,391240,0,0.000000,0.000000,0,0.000000,391240,0,0,0,0.000000,
